name,latitude_deg,longitude_deg,iso_country
Xuzhou Daguozhang Air Base,34.229285,117.245665,China
Zhucheng Air Base,36.027468,119.43778,China
Baoji Air Base,34.53125,107.470679,China
Gonghe Air Base (under construction),36.3367,100.480003,China
Huangdicun Naval Air Base,40.49979,120.659295,China
Lanzhou Air Base,35.917801,104.218002,China
Lintao Air Base,35.3083,103.835999,China
Qingshui Air Base,39.554699,98.884201,China
Ürümqi South Air Base,43.466593,87.531177,China
Uxxaktal Air Base,42.1814,87.188103,China
Wugong Air Base,34.275907,108.2658,China
Ürümqi Changji Air Base,43.951175,87.079232,China
Wuwei Air Base,37.9883,102.567001,China
Xi'an Air Base,34.153059,108.599739,China
Xincheng Air Base,25.5483,114.619003,China
Yaerbashi Test Range,43.077202,92.808098,China
Yanliang Air Base,34.642248,109.241867,China
Daishan Air Base,30.287581,122.144401,China
Feidong Air Base,31.909401,117.658997,China
Fuzhou Air Base,26.003857,119.312832,China
Huian Air Base,25.0261,118.806999,China
Hangzhou Jianqiao Airport,30.3353,120.240997,China
Jiaxing Airport / Jiaxing Air Base,30.705535,120.679779,China
Longtian Air Base,25.5728,119.459999,China
Nanchang Xiangtang Air Base,28.421205,115.923375,China
Ningbo Zhuangqiao Air Base,29.9228,121.573997,China
Shanghai Dachang Air Base,31.324438,121.409508,China
Wuhan Hannan Municipal Airport,30.25521,114.062805,China
Zhangshu Air Base,28.023283,115.549649,China
Changchun Air Base,43.9053,125.197998,China
Beijing Nanjiao Airport,39.48595,116.37236,China
Dingxin-Shuangchengzi Air Base,40.401402,99.789398,China
Fuxin Air Base,42.078899,121.662003,China
Gongzhuling Air Base,43.526293,124.78466,China
Kaiyuan Air Base,42.525799,123.982002,China
Lalin Air Base,45.259457,126.893536,China
Pingquan Air Base,40.900409,118.677878,China
Shenyang Beiling Air Base,41.8708,123.439003,China
Shenyang Yuhong Quansheng Airport,41.822498,123.299004,China
Siping Air Base,43.156898,124.292,China
Suizhong Air Base,40.298992,120.36152,China
Tuchengzi Air Base,38.912201,121.238998,China
Rikaze Dingri Airport,28.604567,86.798,China
Tashikuergan Hongqilafu Airport,37.661333,75.288877,China
Chenghu General Airport,31.215334,120.789328,China
Anji Tianzihu General Airport,30.797725,119.590287,China
Jiuzhou Airport,26.998259,107.759571,China
Paozhuwan Air Base,30.673944,114.63089,China
Shanpo Air Base,30.087612,114.31366,China
Ali Pulan Airport,30.397898,81.13317,China
Shaodong Airport,27.2235,111.6741,China
Ningxiang Airport,27.987589,112.604971,China
Jining Qufu Airport,35.292778,116.346667,China
Bengbu Tenghu Airport (U.C.),33.165808,117.057295,China
Sanshilipu Air Base,39.289671,121.762195,China
Brampton-Caledon Airport,43.7603,-79.875,Canada
(Mislocated duplicate of MRLB) LIR,10.229845,-85.539551,Costa Rica
Fort Frances Municipal Airport,48.655749,-93.44349,Canada
La Grande-4 Airport,53.754699707,-73.6753005981,Canada
Sault Ste Marie Airport,46.483216,-84.508467,Canada
Kasabonika Airport,53.52470016479492,-88.6427993774414,Canada
Winnipeg / St. Andrews Airport,50.0564,-97.032501,Canada
Lac du Bonnet Airport,50.294399,-96.010002,Canada
St. Anthony Airport,51.391909,-56.08321,Canada
Tofino / Long Beach Airport,49.079833,-125.775583,Canada
Baie-Comeau Airport,49.1325,-68.204399,Canada
Bella Coola Airport,52.387501,-126.596001,Canada
Bonnyville Airport,54.304199,-110.744003,Canada
CFB Bagotville / Saguenay-Bagotville Airport,48.331908,-70.992909,Canada
Baker Lake Airport,64.29889678960001,-96.077796936,Canada
Campbell River Airport,49.950802,-125.271004,Canada
Brandon Municipal Airport,49.91,-99.951897,Canada
Nipawin Airport,53.33250045776367,-104.00800323486328,Canada
Calgary / Springbank Airport,51.1031,-114.374001,Canada
Lourdes-de-Blanc-Sablon Airport,51.4436,-57.185299,Canada
Cambridge Bay Airport,69.1081008911,-105.138000488,Canada
Cornwall Regional Airport,45.092637,-74.567724,Canada
Nanaimo Airport,49.05497,-123.869863,Canada
Centralia / James T. Field Memorial Aerodrome,43.285599,-81.508301,Canada
Castlegar/West Kootenay Regional Airport,49.296398,-117.632004,Canada
Miramichi Airport,47.007801,-65.449203,Canada
Charlo Airport,47.990799,-66.330299,Canada
Cochrane Airport,49.10559844970703,-81.01360321044922,Canada
Blue River Airport,52.11669921875,-119.28299713134766,Canada
Chetwynd Airport,55.687198638916016,-121.6269989013672,Canada
Dawson City Airport,64.04309844970703,-139.1280059814453,Canada
Burwash Airport,61.371101,-139.041,Canada
Deer Lake Airport,49.2108,-57.391399,Canada
Ross River Airport,61.9706001282,-132.42300415,Canada
Dauphin Barker Airport,51.1008,-100.052002,Canada
Dolbeau-Saint-Felicien Airport,48.7785,-72.375,Canada
Dawson Creek Airport,55.741245,-120.183263,Canada
Huronia Airport,44.6833000183,-79.9282989502,Canada
Edmonton International Airport,53.3097,-113.580002,Canada
Elliot Lake Municipal Airport,46.351398468,-82.5614013672,Canada
Manitoulin East Municipal Airport,45.842435,-81.857595,Canada
Estevan Airport,49.2103004456,-102.966003418,Canada
Edson Airport,53.5788993835,-116.464996338,Canada
Inuvik Mike Zubko Airport,68.30419921880001,-133.483001709,Canada
Amos/Magny Airport,48.563903,-78.249702,Canada
Iqaluit Airport,63.756402,-68.555801,Canada
Fredericton Airport,45.868900299072266,-66.53720092773438,Canada
Forestville Airport,48.74610137939453,-69.09719848632812,Canada
Mont-Tremblant International Airport,46.409401,-74.779999,Canada
Fort Resolution Airport,61.1808013916,-113.690002441,Canada
Fort Simpson Airport,61.76020050048828,-121.23699951171876,Canada
Goderich Airport,43.7668991089,-81.7106018066,Canada
Golden Airport,51.299196,-116.982002,Canada
Kingston Norman Rogers Airport,44.2253,-76.596901,Canada
La Grande Rivière Airport,53.625301361083984,-77.7042007446289,Canada
Gimli Industrial Park Airport,50.62810134887695,-97.04329681396484,Canada
Michel-Pouliot Gaspé Airport,48.774915,-64.481893,Canada
Geraldton Greenstone Regional Airport,49.77830123901367,-86.93939971923828,Canada
Îles-de-la-Madeleine Airport,47.425242,-61.778612,Canada
Havre-Saint-Pierre Airport,50.281898,-63.611401,Canada
Kuujjuarapik Airport,55.28189849853516,-77.76529693603516,Canada
Dryden Regional Airport,49.831699,-92.744202,Canada
Hearst René Fontaine Municipal Airport,49.71419906616211,-83.68609619140625,Canada
John C. Munro Hamilton International Airport,43.1735992432,-79.93499755859999,Canada
Hornepayne Municipal Airport,49.19309997558594,-84.75890350341797,Canada
Haines Junction Airport,60.7892,-137.546005,Canada
Montréal / Saint-Hubert Metropolitan Airport,45.517502,-73.416901,Canada
Hay River / Merlyn Carter Airport,60.8396987915,-115.782997131,Canada
Halifax / Stanfield International Airport,44.8807983398,-63.5085983276,Canada
Atikokan Municipal Airport,48.773899,-91.638603,Canada
Digby / Annapolis Regional Airport,44.5458450365,-65.7854247093,Canada
St Augustin Airport,51.2117,-58.658298,Canada
Island Lake Airport,53.857200622558594,-94.65360260009766,Canada
Fort Liard Airport,60.2358016968,-123.46900177,Canada
St Jean Airport,45.29439926147461,-73.28109741210938,Canada
Dymond Airport,48.544201,-58.549999,Canada
Kamloops John Moose Fulton Field Regional Airport,50.703038,-120.448641,Canada
Region of Waterloo International Airport,43.4608,-80.378601,Canada
Key Lake Airport,57.25609970092773,-105.61799621582033,Canada
Schefferville Airport,54.805301666259766,-66.8052978515625,Canada
Kincardine Municipal Airport,44.201401,-81.606697,Canada
Kirkland Lake Airport,48.21030044555664,-79.98139953613281,Canada
Kindersley Airport,51.5175018311,-109.180999756,Canada
Chapleau Airport,47.81999969482422,-83.3467025756836,Canada
Meadow Lake Airport,54.125301361083984,-108.52300262451172,Canada
Lloydminster Airport,53.3092,-110.072998,Canada
Leaf Rapids Airport,56.513301849365234,-99.98529815673828,Canada
Barrie-Lake Simcoe Regional Airport,44.485056,-79.554663,Canada
Alert Airport,82.517799,-62.280602,Canada
Kelowna International Airport,49.9561,-119.377998,Canada
Mayo Airport,63.61640167236328,-135.8679962158203,Canada
Matane Airport,48.85689926147461,-67.45330047607422,Canada
Manitouwadge Airport,49.08390045166016,-85.86060333251953,Canada
Moose Jaw Air Vice Marshal C. M. McEwen Airport,50.330299377441406,-105.55899810791016,Canada
Charlevoix Airport,47.59749984741211,-70.2238998413086,Canada
Fort McMurray Airport,56.653301239,-111.222000122,Canada
Moosonee Airport,51.29109954833984,-80.60780334472656,Canada
Chapais Airport,49.77190017700195,-74.5280990600586,Canada
Montreal International (Mirabel) Airport,45.679501,-74.038696,Canada
Natashquan Airport,50.190114,-61.78898,Canada
Ottawa / Gatineau Airport,45.521702,-75.563599,Canada
Langley Airport,49.1008,-122.630997,Canada
Points North Landing Airport,58.27669906616211,-104.08200073242188,Canada
Matagami Airport,49.76169967651367,-77.80280303955078,Canada
Nejanilini Lake Airport,59.4874992371,-97.7802963257,Canada
Ekati Airport,64.6988983154,-110.614997864,Canada
CFB Cold Lake,54.40499877929688,-110.27899932861328,Canada
High Level Airport,58.62139892578125,-117.16500091552734,Canada
Oshawa Executive Airport,43.922798,-78.894997,Canada
Rainbow Lake Airport,58.491402,-119.407997,Canada
